album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
69JpAhN3XgLkOsJ7MCtW4V,single,Bad Habit,6/29/2022,1,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,,,232114,92,TRUE,57vWImR43h4CaDao012Ofp,Steve Lacy,
3Ks0eeH0GWpY4AU20D5HPD,album,Gemini Rights,7/15/2022,10,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,,,232066,89,TRUE,57vWImR43h4CaDao012Ofp,Steve Lacy,
5vg6tTa6EHy0c9NNSOSM8T,single,Bad Habit (Sped Up),7/14/2022,2,4i7HqWsN7iJzsXpsW5h1nb,Bad Habit - Sped Up,,,191335,73,TRUE,57vWImR43h4CaDao012Ofp,Steve Lacy,
4tRInpsZkScWnp3UWcdLTq,album,Gemini Rights,7/14/2022,10,1R7TwnwF1RuYNf5vXlpQUT,Bad Habit,,,232120,56,FALSE,57vWImR43h4CaDao012Ofp,Steve Lacy,
5vg6tTa6EHy0c9NNSOSM8T,single,Bad Habit (Sped Up),7/14/2022,2,7z8hZD5ayg1RENca2KfCDK,Bad Habit,,,232114,47,TRUE,57vWImR43h4CaDao012Ofp,Steve Lacy,
0omm5KaLtGyS4x13w0xxRO,single,Bad Lacy,9/24/2022,1,1zUPy6ji26710tPF1zagx4,Bad Lacy,,,212854,0,FALSE,6NWhcyb8YSDmDp1ZJTyO4E,Steve Habit,
0gX9tkL5njRax8ymWcXARi,single,Unholy (feat. Kim Petras),9/22/2022,1,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),,,156943,100,FALSE,2wY79sveU1sp5g7SokKOiI,Sam Smith,
1Ta4wnFWj2Ej3JheWSdjtj,single,Unholy (feat. Kim Petras) [Disclosure Remix],10/14/2022,2,2Tl5fhF4itz5VeXHRVGIO5,Unholy (feat. Kim Petras) - Disclosure Remix,,,234411,64,FALSE,2wY79sveU1sp5g7SokKOiI,Sam Smith,
1Ta4wnFWj2Ej3JheWSdjtj,single,Unholy (feat. Kim Petras) [Disclosure Remix],10/14/2022,2,7Cy3ctqrVQyNNKF7AjyDi6,Unholy (feat. Kim Petras),,,156943,56,FALSE,2wY79sveU1sp5g7SokKOiI,Sam Smith,
5q2WZFrJpYs53Ky2PSjeIg,single,Unholy (feat. Kim Petras) [ACRAZE Remix],10/12/2022,3,0GuDafONucOb9Ux8VZXECP,Unholy (feat. Kim Petras),,,156943,44,FALSE,2wY79sveU1sp5g7SokKOiI,Sam Smith,
